ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
928,COBBLE HILL DR,K2J 5R3,Ward 3,,5-10,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Highland I 2008,Highland I 2008,Caledonia 2010 A,Bancroft 2010 End,Caledonia 2010 A,Bancroft 2010 Mid",6,706160,9404,1108980,Construction,2011-12-28
930,COBBLE HILL DR,K2J 5R3,Ward 3,,5-10,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Highland I 2008,Highland I 2008,Caledonia 2010 A,Bancroft 2010 End,Caledonia 2010 A,Bancroft 2010 Mid",6,706160,9404,1108980,Construction,2011-12-28
932,COBBLE HILL DR,K2J 5R3,Ward 3,,5-10,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Highland I 2008,Highland I 2008,Caledonia 2010 A,Bancroft 2010 End,Caledonia 2010 A,Bancroft 2010 Mid",6,706160,9404,1108980,Construction,2011-12-28
934,COBBLE HILL DR,K2J 5R3,Ward 3,,5-10,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,"Construct a 2 Storey Rowhouse with attached garages  Models: Highland I 2008,Highland I 2008,Caledonia 2010 A,Bancroft 2010 End,Caledonia 2010 A,Bancroft 2010 Mid",6,706160,9404,1108980,Construction,2011-12-28
152,ESTERBROOK DR,,Ward 2,,32,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Milan 2007 ABC,1,169460,2278,1108981,Construction,2011-12-28
154,ESTERBROOK DR,,Ward 2,,33,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Paris 2009 C 3 bed,1,175480,2364,1108982,Construction,2011-12-28
230,JOSHUA ST,,Ward 2,,45,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Athens 2007 C,1,182100,2530,1108983,Construction,2011-12-29
122,WINTERHAVEN DR,,Ward 2,,112,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Paris 2009 C 4 bed,1,189270,2561,1108984,Construction,2011-12-29
130,WINTERHAVEN DR,,Ward 2,,116,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Prague 2010 C,1,179470,2421,1108985,Construction,2011-12-29
421,DOVEHAVEN ST,,Ward 2,,6,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 storey detached dwelling with attached garage - Model: Helsinki 2007 B,1,170930,2299,1108986,Construction,2011-12-29
148,ESTERBROOK DR,,Ward 2,,30,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Paris 2009 C 4 bed,1,189270,2561,1108987,Construction,2011-12-29
