ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
2721,MER BLEUE RD,K4B 1H9,Ward 19,50R7353,7,***CONTRACTOR***,Single,Cumberland,Construct a deck (side and front yard),0,0,0,1302398,Construction,2013-05-02
472,VIA VERONA AVE,,Ward 3,,,CAMPANALE HOMES,Apartment,Nepean,"Construct a 3 storey, 16 unit apartment building",16,2303177,20660,1302399,Construction,2013-05-02
486,VIA VERONA AVE,,Ward 3,,,CAMPANALE HOMES,Apartment,Nepean,"Construct a 3 storey, 16 unit apartment building",16,2303177,20660,1302399,Construction,2013-05-02
2463,ORIENT PARK DR,K1B 4N2,Ward 2,888,,KGK CONSTRUCTION C/O KEVIN KEMP,Single,Gloucester,Construct a 2nd storey addition to a 2 storey detached dwelling (above garage),0,17837,120,1302400,Construction,2013-05-02
659,VIA AMALFI ST,,Ward 3,4M-1463,1861-1868,CAMPANALE HOMES,Stacked Rowhouse,Nepean,"Construct a block of 3 storey, 8 unit stacked rowhouses",8,1264295,11341,1302401,Construction,2013-05-02
661,VIA AMALFI ST,,Ward 3,4M-1463,1861-1868,CAMPANALE HOMES,Stacked Rowhouse,Nepean,"Construct a block of 3 storey, 8 unit stacked rowhouses",8,1264295,11341,1302401,Construction,2013-05-02
663,VIA AMALFI ST,,Ward 3,4M-1463,1861-1868,CAMPANALE HOMES,Stacked Rowhouse,Nepean,"Construct a block of 3 storey, 8 unit stacked rowhouses",8,1264295,11341,1302401,Construction,2013-05-02
665,VIA AMALFI ST,,Ward 3,4M-1463,1861-1868,CAMPANALE HOMES,Stacked Rowhouse,Nepean,"Construct a block of 3 storey, 8 unit stacked rowhouses",8,1264295,11341,1302401,Construction,2013-05-02
667,VIA AMALFI ST,,Ward 3,4M-1463,1861-1868,CAMPANALE HOMES,Stacked Rowhouse,Nepean,"Construct a block of 3 storey, 8 unit stacked rowhouses",8,1264295,11341,1302401,Construction,2013-05-02
669,VIA AMALFI ST,,Ward 3,4M-1463,1861-1868,CAMPANALE HOMES,Stacked Rowhouse,Nepean,"Construct a block of 3 storey, 8 unit stacked rowhouses",8,1264295,11341,1302401,Construction,2013-05-02
