ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
1493 B,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
1495,RICHMOND RD,K2B 6R9,Ward 7,4M-,,SITECAST CONSTRUCTION CORPORATION,Retail,Old Ottawa,Replace parking structure,0,0,0,1307287,Construction,2013-10-10
377,VIA VERONA AVE,K2J 5X8,Ward 3,4M-1463,,CAMPANALE HOMES,Rowhouse,Nepean,Construct a 2 storey block of 3 townhouses,3,565352,5588,1307288,Construction,2013-10-10
379,VIA VERONA AVE,K2J 5X8,Ward 3,4M-1463,,CAMPANALE HOMES,Rowhouse,Nepean,Construct a 2 storey block of 3 townhouses,3,565352,5588,1307288,Construction,2013-10-10
381,VIA VERONA AVE,K2J 5X8,Ward 3,4M-1463,,CAMPANALE HOMES,Rowhouse,Nepean,Construct a 2 storey block of 3 townhouses,3,565352,5588,1307288,Construction,2013-10-10
248,QUEEN ELIZABETH DRWY,K1S 3M5,Ward 17,4M-18,28,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 2 storey addition with attached garage on a 2 storey detached dwelling (rear yard),0,190259,1280,1307289,Construction,2013-10-10
302,VIA SAN MARINO ST,K2J 5X8,Ward 3,4M-1463,,CAMPANALE HOMES,Rowhouse,Nepean,Construct a 2 storey block of 3 townhouse dwellings,3,584973,5908,1307290,Construction,2013-10-10
304,VIA SAN MARINO ST,K2J 5X8,Ward 3,4M-1463,,CAMPANALE HOMES,Rowhouse,Nepean,Construct a 2 storey block of 3 townhouse dwellings,3,584973,5908,1307290,Construction,2013-10-10
306,VIA SAN MARINO ST,K2J 5X8,Ward 3,4M-1463,,CAMPANALE HOMES,Rowhouse,Nepean,Construct a 2 storey block of 3 townhouse dwellings,3,584973,5908,1307290,Construction,2013-10-10
1054,FALAISE RD,K2C 0M5,Ward 16,489,7,MCDONALDS CUSTOM CARPENTARY,Detached Garage/Shed,Old Ottawa,Construct a storage shed (rear yard),0,6000,312,1307291,Construction,2013-10-10
10,FIELDROW ST,K2G 2Y7,Ward 8,,,CONTRACTOR UNKNOWN,Institutional,Nepean,Relocate 2 portable classrooms onsite for a total of 2( Meadowlands PS),0,6000,1550,1307292,Construction,2013-10-10
3791,STONECREST RD,K0A 3M0,Ward 5,,pt 10,CONTRACTOR UNKNOWN,Institutional,West Carleton,Relocate 2  portable classrooms onsite ( Stonecrest ES) for a total of 3.,0,6000,1550,1307293,Construction,2013-10-10
2176,HUNTLEY RD,K2S 1B8,Ward 21,,21-22,CONTRACTOR UNKNOWN,Institutional,Goulbourn,Relocate 2 portables onsite (Goulbourn Middle School),0,6000,1504,1307294,Construction,2013-10-10
643,TENNANT WAY,K4M 0C7,Ward 22,,,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Stillwater 2012,Stillwater 2012,Stillwater 2012",3,580251,5205,1307295,Construction,2013-10-10
645,TENNANT WAY,K4M 0C7,Ward 22,,,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Stillwater 2012,Stillwater 2012,Stillwater 2012",3,580251,5205,1307295,Construction,2013-10-10
647,TENNANT WAY,K4M 0C7,Ward 22,,,RICHCRAFT HOMES LIMITED,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Stillwater 2012,Stillwater 2012,Stillwater 2012",3,580251,5205,1307295,Construction,2013-10-10
3499,MCBEAN ST,,Ward 21,D-13,,OTTAWA CARLETON DISTRICT SCHOOL BOARD,Institutional,Goulbourn,Relocate 3 new portable classrooms (Richmond Public School),0,9000,775,1307296,Construction,2013-10-10
590,BROADVIEW AVE,K2A 2L8,Ward 15,374,341-354,OTTAWA CARLETON DISTRICT SCHOOL BOARD,Institutional,Old Ottawa,Relocate 2 portable classrooms onsite for a total of 5 (Broadview Public School),0,13667,1550,1307297,Construction,2013-10-10
