ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
188 A,CRAIG HENRY DR,K2G 4M7,Ward 9,322,,NOVATECH DISASTER RESTORATIONS,Rowhouse,Nepean,"Interior altertaions to a 2 storey rowhouse, , all floors- Unit 188 A only",0,120000,1775,1201042,Construction,2012-03-07
885,OAK CREEK RD,K0A 1L0,Ward 5,,PART LOT 8,GRIZZLY HOMES,Single,West Carleton,Construct a one storey detached dwelling with attached garage,1,180000,2000,1201043,Construction,2012-03-07
123,VALLIER WAY,K4A 0R4,Ward 19,4M-,,***CONTRACTOR***,Single,Cumberland,Finish the basement in a 2 storey detached dwelling,0,10635,709,1201044,Construction,2012-03-07
870,ROSEVIEW AVE,K2B 6J4,Ward 7,523,34,PROTECH CONCRETE PUMP & TRUCK REPAIR INC.,Demolition,Old Ottawa,Demolish a detached garage,0,2000,-496,1201045,Demolition,2012-03-07
73,ANDERSON ST,K1R 6T6,Ward 14,29,15,THE HEALTHIEST HOME,Single,Old Ottawa,Interior alterations and addition to a 2 storey detached dwelling,0,150000,1082,1201046,Construction,2012-03-07
537,CARACOLE WAY,,Ward 19,,138,MINTO COMMUNITIES INC.,Single,Cumberland,Construct a 2 Storey Single with attached garage  Model: Hathaway 4 2007 C,1,161270,2161,1201047,Construction,2012-03-07
110,PLACE D'ORLEANS DR,K1C 2L9,Ward 1,,37,CONTRACTOR UNKNOWN,Retail,Cumberland,Interior alterations on the 1st floor of a 2 storey retail building  ( Bentley Place D'Orleans),0,60000,1075,1201051,Construction,2012-03-07
1053,CARLING AVE,K1Y 4E9,Ward 15,13079,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Interior alterations on the 1st floor of an 8 storey institutional building (The Ottawa Hospital),0,60000,592,1201054,Construction,2012-03-07
1967,RIVERSIDE DR,K1H 7W9,Ward 18,,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Interior alterations on the 1st floor of a 6 storey institutional building (The Ottawa Hospital),0,60000,500,1201055,Construction,2012-03-07
538,CARACOLE WAY,,Ward 19,,149,MINTO COMMUNITIES INC.,Single,Cumberland,Construct a 2 storey detached dwelling with attached 2 car garage  Model: Westmount 2007 A,1,240160,3288,1201056,Construction,2012-03-07
540,CARACOLE WAY,,Ward 19,,148,MINTO COMMUNITIES INC.,Single,Cumberland,Construct a 2 storey detached dwelling with attached 2 car garage  Model: Gainsborough 2009 A,1,186750,2525,1201057,Construction,2012-03-07
544,CARACOLE WAY,,Ward 19,,146,MINTO COMMUNITIES INC.,Single,Cumberland,Construct a 2 storey detached dwelling with attached 2 car garage  Model: Riverbend 2009 C,1,232250,3175,1201058,Construction,2012-03-07
480,FERNHILL RD,K1M 0W8,Ward 13,M67,4 & 6,CONTRACTOR UNKNOWN,Single,Rockcliffe Park,Exterior alterations to the foundation and interior alterations in a 2 storey detached dwelling,0,23278,0,1201059,Construction,2012-03-07
10,GLAMORGAN DR,K2L 1P9,Ward 23,4M-223,,TWO BROTHERS CONSTRUCTION,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on City Sewer in a 2 storey detached dwelling,0,0,0,1201060,Construction,2012-03-07
